section id,recording id,timestamp [ns],detected marker IDs,tl x [px],tl y [px],tr x [px],tr y [px],br x [px],br y [px],bl x [px],bl y [px]
8c2fc8e6-bb4d-4eb2-9163-cf271b87b236,140c6482-6fa5-4e7d-b251-bf70e5827ca7,1754690230113650000,"""0;1;2;3""",307.527,301.605,836.286,620.59,902.802,656.276,942.872,695.64
8c2fc8e6-bb4d-4eb2-9163-cf271b87b236,140c6482-6fa5-4e7d-b251-bf70e5827ca7,1754690230147000000,"""0;1;2;3""",,,831.066,620.099,904.762,655.993,943.357,696.241
8c2fc8e6-bb4d-4eb2-9163-cf271b87b236,140c6482-6fa5-4e7d-b251-bf70e5827ca7,1754690230180340000,"""0;1;2;3""",1107.437,912.536,1220.907,1058.102,973.897,753.214,792.579,491.051
8c2fc8e6-bb4d-4eb2-9163-cf271b87b236,140c6482-6fa5-4e7d-b251-bf70e5827ca7,1754690230213680000,"""0;1;2;3""",1109.87,913.827,1222.894,1059.206,976.553,754.453,795.305,492.066
8c2fc8e6-bb4d-4eb2-9163-cf271b87b236,140c6482-6fa5-4e7d-b251-bf70e5827ca7,1754690230247030000,"""0;1;2;3""",1111.771,915.888,1224.28,1061.104,978.835,756.477,797.819,493.776
8c2fc8e6-bb4d-4eb2-9163-cf271b87b236,140c6482-6fa5-4e7d-b251-bf70e5827ca7,1754690230280370000,"""0;1;2;3""",1113.047,918.756,1225.123,1063.8,980.431,759.316,799.715,496.267
8c2fc8e6-bb4d-4eb2-9163-cf271b87b236,140c6482-6fa5-4e7d-b251-bf70e5827ca7,1754690230313710000,"""0;1;2;3""",1113.842,921.977,1225.549,1066.785,981.59,762.661,801.214,499.452
8c2fc8e6-bb4d-4eb2-9163-cf271b87b236,140c6482-6fa5-4e7d-b251-bf70e5827ca7,1754690230347050000,"""0;1;2;3""",1114.334,924.985,1225.782,1069.461,982.332,765.891,802.175,502.684
8c2fc8e6-bb4d-4eb2-9163-cf271b87b236,140c6482-6fa5-4e7d-b251-bf70e5827ca7,1754690230380400000,"""0;1;2;3""",1114.249,927.537,1225.526,1071.652,982.404,768.69,802.531,505.688
8c2fc8e6-bb4d-4eb2-9163-cf271b87b236,140c6482-6fa5-4e7d-b251-bf70e5827ca7,1754690230413740000,"""0;1;2;3""",1113.694,930.013,1224.923,1073.812,981.928,771.416,802.254,508.605
8c2fc8e6-bb4d-4eb2-9163-cf271b87b236,140c6482-6fa5-4e7d-b251-bf70e5827ca7,1754690230447080000,"""0;1;2;3""",1113.057,932.337,1224.239,1075.679,981.292,774.048,801.748,511.514
8c2fc8e6-bb4d-4eb2-9163-cf271b87b236,140c6482-6fa5-4e7d-b251-bf70e5827ca7,1754690230480430000,"""0;1;2;3""",1112.427,934.539,1223.605,1077.64,980.694,776.441,801.34,514.053
8c2fc8e6-bb4d-4eb2-9163-cf271b87b236,140c6482-6fa5-4e7d-b251-bf70e5827ca7,1754690230513770000,"""0;1;2;3""",1111.873,937.128,1223.036,1079.91,980.169,779.249,800.902,517.036
8c2fc8e6-bb4d-4eb2-9163-cf271b87b236,140c6482-6fa5-4e7d-b251-bf70e5827ca7,1754690230547120000,"""0;1;2;3""",1111.163,940.285,1222.246,1082.607,979.509,782.694,800.433,520.708
8c2fc8e6-bb4d-4eb2-9163-cf271b87b236,140c6482-6fa5-4e7d-b251-bf70e5827ca7,1754690230580450000,"""0;1;2;3""",1110.197,943.466,1221.279,1085.341,978.558,786.205,799.628,524.456
8c2fc8e6-bb4d-4eb2-9163-cf271b87b236,140c6482-6fa5-4e7d-b251-bf70e5827ca7,1754690230613800000,"""0;1;2;3""",1109.16,946.45,1220.262,1087.85,977.508,789.547,798.703,528.103
8c2fc8e6-bb4d-4eb2-9163-cf271b87b236,140c6482-6fa5-4e7d-b251-bf70e5827ca7,1754690230647140000,"""0;1;2;3""",1108.293,949.411,1219.419,1090.35,976.631,792.855,797.894,531.709
8c2fc8e6-bb4d-4eb2-9163-cf271b87b236,140c6482-6fa5-4e7d-b251-bf70e5827ca7,1754690230680480000,"""0;1;2;3""",1107.729,952.536,1218.89,1093.063,976.043,796.296,797.408,535.432
8c2fc8e6-bb4d-4eb2-9163-cf271b87b236,140c6482-6fa5-4e7d-b251-bf70e5827ca7,1754690230713830000,"""0;1;2;3""",1107.2,955.722,1218.344,1095.723,975.52,799.88,796.939,539.314
8c2fc8e6-bb4d-4eb2-9163-cf271b87b236,140c6482-6fa5-4e7d-b251-bf70e5827ca7,1754690230747170000,"""0;1;2;3""",1106.418,959.162,1217.475,1098.687,974.812,803.629,796.398,543.285
8c2fc8e6-bb4d-4eb2-9163-cf271b87b236,140c6482-6fa5-4e7d-b251-bf70e5827ca7,1754690230780520000,"""0;1;2;3""",1105.703,962.86,1216.812,1101.99,974.095,807.645,795.724,547.447
8c2fc8e6-bb4d-4eb2-9163-cf271b87b236,140c6482-6fa5-4e7d-b251-bf70e5827ca7,1754690230813850000,"""0;1;2;3""",1104.954,966.487,1216.292,1105.359,973.442,811.803,795.177,551.916
8c2fc8e6-bb4d-4eb2-9163-cf271b87b236,140c6482-6fa5-4e7d-b251-bf70e5827ca7,1754690230847200000,"""0;1;2;3""",1104.966,970.451,1215.94,1108.423,973.242,815.872,795.047,556.032
8c2fc8e6-bb4d-4eb2-9163-cf271b87b236,140c6482-6fa5-4e7d-b251-bf70e5827ca7,1754690230880540000,"""0;1;2;3""",1104.428,973.411,1215.636,1111.154,972.888,819.46,794.529,559.785
